avg_reflectance(%),uniformity(%),max_high_angle_R(%),delta_R_temp(%),avg_stress(MPa),layer1_thickness(nm),layer2_thickness(nm),layer3_thickness(nm),layer4_thickness(nm),layer5_thickness(nm),layer6_thickness(nm),layer7_thickness(nm)
22.3210,2.8094,24.1766,0.0016,31.8736,28.8586,34.3494,29.9203,101.6529,28.7860,134.3605,54.0109
21.7157,2.8193,23.4955,0.0017,31.5878,27.1764,41.4552,24.9250,102.7490,28.4932,135.9214,56.9970
3.3236,12.9752,3.3157,0.0045,39.0054,61.6296,47.2676,22.7322,32.4059,61.8727,28.9718,107.5989
0.3514,140.4190,2.3378,0.0020,33.1119,54.9335,39.9571,20.7625,38.2378,42.8848,124.9205,20.0166
1.9483,56.8097,5.0977,0.0067,29.3521,20.3537,77.9741,27.9611,103.3595,20.0141,139.3718,20.8687
15.8328,1.3347,16.0913,0.0024,36.7511,22.2863,26.5048,49.1634,20.5805,38.7708,66.3224,51.3352
19.3804,3.8365,21.4059,0.0007,34.2560,24.2511,41.4944,20.2268,43.6981,31.8010,62.4052,50.8774
9.8403,0.9296,9.7174,0.0031,32.3790,37.6883,94.8263,48.0874,128.2774,36.4730,62.6195,44.8019
2.2495,67.2333,0.4246,0.0076,30.2859,61.7772,99.6203,26.3444,130.5368,20.0040,136.5256,23.6013
9.6221,5.4317,8.8252,0.0061,30.3861,20.6528,30.3900,34.9797,136.0666,34.5839,135.6777,21.1382
16.2271,1.4077,16.9552,0.0027,36.6577,20.4505,35.7564,27.7510,45.4522,38.5496,61.2253,112.2905
5.8797,46.8062,2.2279,0.0150,28.5946,21.4056,139.9909,25.6823,139.1389,20.0904,119.3481,20.1330
14.7984,4.4589,16.5239,0.0013,35.3291,20.0202,41.4737,20.0137,58.8720,24.9673,68.4853,115.3205
9.7966,3.4327,9.2876,0.0048,32.2749,20.0273,40.0837,20.2146,81.2141,20.0878,71.8734,50.1061
18.9590,2.3402,19.7511,0.0047,31.1056,25.1274,43.4413,29.2992,100.6220,20.0181,76.5667,22.5076
8.0243,10.3829,9.9501,0.0012,32.6798,20.2175,56.8809,26.8553,70.0958,20.0063,70.8412,56.2318
8.1528,11.4717,10.7711,0.0007,38.1882,20.1793,27.8765,53.7682,31.9526,43.4536,57.4628,109.6872
7.5481,4.1507,7.6038,0.0027,35.1336,20.3134,35.3221,52.4406,39.3801,43.5169,58.0422,20.0692
3.0044,112.5644,14.9849,0.0103,28.7610,20.3333,139.9900,26.7773,107.2689,20.2073,139.8734,22.3422
16.0087,8.0076,19.8160,0.0008,32.9981,22.4435,44.1186,23.7994,53.1402,20.0608,67.2434,43.3213
0.5980,124.8480,3.6922,0.0032,30.8551,55.7072,35.1684,21.8035,125.9107,20.0181,135.7991,25.3607
21.1102,4.8080,24.0865,0.0016,31.2625,24.6719,41.0720,26.4535,107.4856,26.2565,135.5744,52.1436
1.5767,100.4898,7.2812,0.0055,29.6240,20.0047,76.4336,26.2063,101.3372,26.0385,139.8693,23.2741
0.4190,121.3362,2.4161,0.0021,31.7038,54.5006,37.5068,21.4715,56.0604,20.1435,136.7373,20.0002
